total_buildings,buildings_w_height_measurement,percent_buildings_with_height,min_height,quantile_0.05,mean_height,quantile_0.95,quantile_0.99,max_height,city,number_localities
6855,5926,0.8644784828592268,2.503105401992798,2.8799211382865906,4.588689891019867,6.719885945320129,8.12351942062378,23.047740936279297,"Detroit Lakes, MN",197
1592112,1467184,0.9215331584712634,2.124495367752388e-4,2.4980796694755556,4.590418405895033,7.099781441688537,9.632015886306752,36.86052322387695,"Detroit, MI",4893
25404,22871,0.9002912927098095,2.500579833984375,2.9881269931793213,5.00570609093046,7.353666305541992,9.231219673156737,22.418283462524418,"Dover--Rochester, NH--ME",382
45492,34528,0.758990591752396,0.00136008160188794,3.1873927354812626,4.721405846444927,7.086828041076661,11.432550315856936,29.26519012451172,"Dover, DE",170
29952,24096,0.8044871794871795,2.5001204013824463,2.7370426058769226,4.35193804038038,6.759345531463623,9.95278258323669,28.535545349121097,"Dubuque, IA--IL",108
60879,50731,0.8333086942952413,2.5000603199005127,2.7148436307907104,4.424478709179586,6.667309999465942,8.86014671325682,34.78372573852539,"Duluth, MN--WI",885
7127,6419,0.9006594640101024,2.500068187713623,2.8285333156585697,4.37183292009764,6.288979768753052,7.614164409637448,13.541650772094728,"Durango, CO",138
107561,97967,0.9108041018584804,2.500266790390014,3.4335735797882077,5.888692640141919,9.725463581085204,13.58470766067504,28.8817195892334,"Durham, NC",2630
1458,1327,0.9101508916323732,2.5169997215270996,3.752840447425842,6.036000935404302,9.56849756240845,13.001081657409673,18.415639877319336,"Durham, NH",108
17875,17847,0.9984335664335664,0.00727802049368619,2.734250545501709,5.535352336457583,7.874331903457643,10.436724433898938,25.30345344543457,"East Hampton North--Springs--Northwest Harbor, NY",263
3856,3045,0.7896784232365145,2.500016927719116,2.7383545875549316,4.20102112845247,6.438050842285156,8.727228202819823,15.718185424804688,"East Tawas, MI",104
42268,42130,0.9967351187659697,1.6005121869966388e-4,2.018026351928711,4.513880871063499,7.142904472351072,9.537794113159173,31.373592376708984,"Eau Claire, WI",280
28037,24975,0.8907871740913792,2.5006892681121826,2.842661428451538,4.267616786804046,6.06063380241394,7.796819887161244,18.45748519897461,"El Paso de Robles (Paso Robles)--Atascadero, CA",242
277181,216403,0.7807281162850267,2.5813112733885646e-4,2.5017175674438477,4.181233172652671,5.937241315841675,7.929422340393073,35.745201110839844,"El Paso, TX--NM",595
62645,56313,0.8989224998004629,0.00439077941700816,2.742375993728638,4.472423941294387,7.082771015167234,9.249895515441889,26.48521614074707,"Elkhart, IN--MI",473
30698,24691,0.8043194996416705,2.500551462173462,2.681484341621399,4.066187823298181,5.915461301803589,7.21557512283325,19.996301651000977,"Elmira, NY",172
70376,60148,0.8546663635330226,2.500926733016968,3.200369930267334,4.767131971474173,7.256441068649291,10.294799127578727,25.651453018188477,"Erie, PA",363
6422,5582,0.8691996262846465,2.500452041625977,2.7964695811271665,4.303199566123905,5.916932916641234,6.705959692001338,12.635689735412598,"Estes Park, CO",540
94540,93851,0.9927120795430504,1.684636081336066e-4,2.239849328994751,4.237152261435072,6.199440956115723,7.802834510803223,26.97334671020508,"Eugene, OR",1296
20946,17321,0.8269359304879214,2.5013413429260254,3.177250862121582,4.246205564707244,5.804357528686523,7.362737560272213,18.473865509033203,"Eureka, CA",259
95744,81098,0.8470295788770054,2.5000739097595215,2.7820382714271545,4.434408132955088,6.72116641998291,9.049593076705932,31.27400016784668,"Evansville, IN",497
5406,4842,0.8956714761376249,2.5006988048553467,3.0342896342277528,5.165574127856684,7.518786382675169,9.992984218597416,17.363170623779297,"Exeter, NH",186
33226,28133,0.8467164268946006,3,3.3100739479064942,5.034551716077952,7.718708992004395,10.520254135131838,28.75346946716309,"Fairhope--Daphne, AL",358
123415,118822,0.9627841024186689,4.6157398173818365e-5,1.1958394229412082,4.301562839635349,6.906800007820129,8.587799949645994,24.639686584472656,"Fayetteville--Springdale--Rogers, AR--MO",926
126526,111678,0.8826486255789324,2.5001161098480225,3.009271264076233,4.655372352760982,6.816403865814206,9.304262447357177,32.21892166137695,"Fayetteville, NC",424
17360,15939,0.9181451612903224,2.5002686977386475,3.0735552549362186,4.785915440900973,7.110699701309204,9.693241729736323,18.36661148071289,"Fenton, MI",141
25095,20356,0.8111576011157601,3,3.2589495182037354,4.981363827972802,7.340543270111084,10.378279638290408,28.98253059387207,"Fernandina Beach--Yulee, FL",256
23185,19258,0.8306232477895191,2.500307083129883,2.7322673559188844,4.173321077045912,6.050068473815917,7.726907067298892,22.328590393066406,"Findlay, OH",106
22837,22808,0.9987301309278802,4.108463472221046e-4,2.260315454006195,4.949300422947742,7.246202683448787,8.726347484588624,17.343015670776367,"Flagstaff, AZ",499
141105,136788,0.969405761666844,0.00101214577443897,2.094505071640014,4.259961468532842,6.699982285499573,9.048932008743297,25.219512939453125,"Flint, MI",260
6870,6856,0.997962154294032,2.696508017834276e-4,1.967579960823059,4.004347255114057,5.785831809043884,6.78214244842529,13.151562690734863,"Florence, OR",123
39076,32337,0.8275412017606715,2.5014591217041016,3.2490169525146486,5.0398263045342615,7.826526069641109,11.256394271850583,21.687484741210938,"Florence, SC",115
25810,25748,0.997597830298334,1.399645407218486e-4,1.9732434749603271,4.062190345668873,6.295824313163749,7.874287338256829,23.193532943725582,"Fond du Lac, WI",235
116533,94247,0.8087580342049033,2.500112533569336,2.8842026710510256,4.554859642742311,6.203531599044799,7.92750247955322,31.623504638671875,"Fort Collins, CO",1486
46406,43320,0.9334999784510624,3.1123560620471835e-4,2.0777948975563048,4.173464416042824,6.492161798477173,8.644346017837524,23.190128326416016,"Fort Smith, AR--OK",115
140323,124377,0.8863621786877418,2.5000240802764893,2.9156869411468502,4.656689440133385,6.705896759033203,8.549194831848151,32.07369613647461,"Fort Wayne, IN",453
15673,14423,0.9202450073374592,2.5027270317077637,3.0188060998916626,4.532649487833503,6.3967141628265365,7.933532371520997,17.631868362426758,"Frankfort, KY",101
1985,1639,0.8256926952141058,3.037426233291626,3.3296490430831907,5.247550498573718,8.235676670074461,10.033448505401603,15.959874153137209,"Frankfort, MI",115
2383,1990,0.8350818296265212,2.502514600753784,2.8595290660858153,4.742830576728935,7.019683861732483,8.933571453094482,11.70901107788086,"Fraser, CO",105
47183,46581,0.9872411673696034,5.576311741606333e-5,1.3686901330947876,4.594597817771093,6.8310770988464355,8.661133003234863,28.723352432250977,"Frederick, MD",593
48767,43068,0.8831381877089015,3,3.388080513477325,5.395814387609204,8.71206283569336,12.397504072189337,21.84640121459961,"Fredericksburg, VA",456
6691,6630,0.9908832760424452,0.01269841287285089,2.1539828658103946,4.513154608675533,6.450851821899409,8.090546159744264,19.367923736572266,"Freeland, WA",229
13630,11506,0.8441672780630961,2.5003626346588135,2.7338989973068237,4.231444527931718,6.468875050544739,8.80462527275089,35.726741790771484,"Fremont, NE",210
229433,196186,0.8550905928964011,2.500011682510376,2.7977932691574097,4.191689921334679,5.887334227561951,7.338701391220085,31.70450782775879,"Fresno, CA",509
30886,26183,0.8477303632713851,2.500110626220703,2.7528393983840944,4.443013378840163,7.09688568115234,9.80492177963257,22.069591522216797,"Gadsden, AL",138
54029,46013,0.8516352329304633,3,3.263236570358276,5.311570770336918,9.061099433898928,12.387038650512684,25.69532585144043,"Gainesville, FL",1436
105628,90438,0.8561934335592836,2.5004396438598633,3.054209744930267,5.409628093599859,9.163862085342396,13.503089056015057,29.04756546020508,"Gainesville, GA",476
88584,67711,0.7643705409554773,2.500011444091797,2.738953471183777,4.47786850842359,6.543328285217285,11.705038070678606,34.56828308105469,"Galveston--Texas City, TX",840
75306,62021,0.8235864340158818,2.500108480453491,2.957879066467285,4.703928491858239,6.8276848793029785,8.505850219726568,19.589263916015625,"Gastonia, NC",307
14343,11653,0.8124520672104859,2.500476837158203,2.7107087135314942,4.296673412068477,6.4203342437744135,8.647152938842764,22.974536895751953,"Geneva, NY",210
33557,29788,0.8876836427570999,2.500407457351685,2.820371127128601,4.5030649338566375,6.672905445098877,8.459477815628055,32.79584503173828,"Glens Falls, NY",276
3470,3086,0.8893371757925072,2.5019078254699707,2.8416662216186523,4.5821547264104066,6.686537504196167,8.667999458312993,12.042040824890137,"Glenwood Springs, CO",103
18204,18104,0.994506701823775,6.999533507041633e-4,2.2934374809265137,4.444787123673047,6.479888367652892,8.025443601608279,22.73040008544922,"Grafton--Port Washington--Cedarburg, WI",316
23803,20036,0.8417426374826702,2.5003528594970703,2.77884978055954,4.437856426636933,6.602113842964172,9.25192432403567,35.0098876953125,"Grand Forks, ND--MN",137
61226,48692,0.7952830496847745,2.500087261199951,2.770921468734741,4.089103524778722,5.720487976074218,7.001559615135184,20.28294563293457,"Grand Junction, CO",426
222935,218032,0.9780070424114652,5.259559111436829e-5,1.7967886984348298,4.290190037810643,6.970301580429077,9.878971328735355,31.206377029418945,"Grand Rapids, MI",1833
28737,24745,0.861085012353412,2.5006093978881836,2.773676824569702,4.063858095538281,5.954678535461426,7.928124618530283,19.51859474182129,"Grants Pass, OR",186
17465,17460,0.9997137131405668,0.00368788815103471,2.257173848152161,4.589883481761595,6.799079346656798,8.748028573989867,18.270551681518555,"Grass Valley, CA",118
33744,26825,0.7949561403508771,2.5001471042633057,2.734917449951172,3.996547739139141,5.657983779907225,7.356725406646723,23.144702911376953,"Great Falls, MT",121
80880,78952,0.976162215628091,3.1871495593804866e-5,1.9256373047828672,4.311727476895572,6.797641229629516,9.394332151412971,31.842697143554688,"Green Bay, WI",774
16208,16006,0.9875370187561698,4.290924698580056e-4,1,4.102502587949062,5.86436927318573,6.56976239681244,11.305970191955566,"Green Valley, AZ",617
9335,7794,0.8349223352972683,2.5002126693725586,2.723957586288452,4.419220489081524,6.784093999862668,8.625286531448364,15.59844207763672,"Greenfield, MA",121
40853,33623,0.8230240129243874,3,3.273067665100098,4.854849683775041,6.9705823898315415,9.377881469726551,24.124935150146484,"Greenville, NC",161
165522,147294,0.8898756660746003,2.5000674724578857,3.024227786064148,5.101619832394026,7.937757253646852,10.79568996429444,28.74938583374023,"Greenville, SC",766
99322,89848,0.9046132780250096,1.535390765639022e-4,1.7583916008472442,3.924399739585706,6.496187210083008,8.802744722366329,29.543306350708008,"Gulfport--Biloxi, MS",708
70792,53209,0.7516244773420726,2.227667573606595e-4,3.126557159423828,4.519671225192996,6.466347503662108,8.768185272216785,28.072654724121097,"Hagerstown, MD--WV--PA--VA",264
8495,7658,0.9014714537963509,2.5002946853637695,3.003851139545441,4.607258657650712,6.170502543449402,7.582340331077576,17.139404296875,"Half Moon Bay, CA",226
17366,17209,0.9909593458482092,5.367686389945447e-4,1.0062712907791138,4.718854463769002,7.353298950195311,9.978597221374493,16.01418685913086,"Hampstead, NC",267
46292,32770,0.7078976929059017,2.5000569820404053,2.647885775566101,3.9133561277447737,5.509496545791626,6.589456067085271,25.316041946411133,"Harlingen, TX",409
160649,133258,0.8294978493485798,1.0419922909932212e-4,2.50318558216095,4.393051346855732,6.572969722747801,8.782531585693343,28.074670791625977,"Harrisburg, PA",1682
18140,15243,0.840297684674752,2.500129461288452,2.9228291511535645,4.552543644031374,6.428789472579956,8.373326053619383,18.8330078125,"Harrisonburg, VA",286
324771,242748,0.7474435833248658,0.01834862306714058,2.9736987233161924,4.7378538766132365,7.092339515686035,9.50397472381592,29.959774017333984,"Hartford, CT",2041
30157,23749,0.787512020426435,3,3.161758232116699,4.90718022448534,8.267711830139149,11.881550216674809,24.15712547302246,"Hattiesburg, MS",131
28537,21876,0.7665837333987455,2.5001065731048584,2.683763682842255,4.065286189170572,5.850373983383179,8.116494417190552,33.85298538208008,"Helena, MT",202
101431,83174,0.8200057181729452,2.500093698501587,2.8174002170562744,4.393118230240576,6.455524969100951,8.02663092613222,24.649791717529297,"Hickory, NC",247
62991,52489,0.8332777698401359,2.5000131130218506,2.955525302886963,4.646429034699692,7.120564746856688,10.001368789672886,22.371992111206055,"High Point, NC",220
5377,4574,0.8506602194532267,2.5009429454803467,3.0280972957611083,5.397625293958954,8.956945610046382,11.476921958923334,21.171497344970703,"Hillsborough, NC",134
12046,9385,0.7790967956168022,3,3.2072700023651124,4.6835489181108025,6.533847522735592,7.851530780792236,14.653640747070313,"Holden Beach, NC",132
40299,40026,0.993225638353309,2.053950447589159e-4,1.5692404806613924,4.215124698540656,6.801746487617493,9.44188117980957,29.541805267333984,"Holland, MI",526
8354,8335,0.9977256404117788,0.00928792543709278,2.006414008140564,4.474083984875297,6.747453355789183,8.345772495269774,15.92361068725586,"Hood River, OR--WA",168
5915,5786,0.9781910397295012,3.000955104827881,4.173247337341309,6.344509371580486,10.442884206771849,13.910703992843622,20.902297973632813,"Hot Springs Village, AR",228
28952,20300,0.7011605415860735,2.5014283657073975,3.090575444698334,5.3537758063682785,9.619087648391725,13.063334741592383,27.052156448364254,"Hot Springs, AR",151
4576,4037,0.8822115384615384,3,3.2820497512817384,4.997140268657005,7.425264644622802,9.458051681518551,13.626429557800291,"Houghton--Hancock, MI",129
69855,68697,0.9834228043805024,2.0695364219136536e-4,0.9892696022987364,3.1369923513287117,5.217761898040771,6.995290870666492,23.99043655395508,"Houma, LA",158
1791701,1584405,0.8843021240709248,6.94299815222621e-5,2.0695939540863035,4.501830566593704,6.847433853149406,9.88348217010498,36.62898635864258,"Houston, TX",5853
101456,100443,0.9900153761236398,1.5812776109669358e-4,1.7086754083633424,3.8274720610504502,5.91475715637207,7.5460931968689025,27.235591888427734,"Huntington, WV--KY--OH",274
137187,114001,0.8309898168193779,2.5000035762786865,2.8838839530944824,4.720356662095996,7.583673000335693,11.183836936950684,35.85335159301758,"Huntsville, AL",802
37927,32206,0.8491575922166267,2.5002386569976807,2.9342536330223083,4.289793354853602,5.83437716960907,7.058995532989503,21.403175354003903,"Idaho Falls, ID",167
14406,13026,0.9042065805914202,2.5006115436553955,2.9382110834121704,4.729583871542135,6.464008569717407,7.729946613311768,15.647683143615724,"Incline Village, NV--CA",175
621983,540854,0.8695639591435779,2.5000178813934326,2.9198806524276737,4.750797976648817,6.777364683151244,8.70565735816955,38.67291259765625,"Indianapolis, IN",3664
34807,31358,0.9009107363461372,2.500079393386841,3.187404227256775,5.3080085554903915,7.833450818061828,9.80637269020081,25.9551944732666,"Iowa City, IA",499
12648,11634,0.9198292220113852,2.5001182556152344,3.0300541281700135,4.998745960162148,7.328399443626404,9.087416067123414,15.108494758605955,"Ithaca, NY",1348
38211,38139,0.9981157258381096,5.619240109808743e-4,1.5220392704010008,3.780070800019582,6.335044002532958,8.951525287628204,27.550426483154297,"Jackson, MI",122
128674,110137,0.8559382625860702,2.50014591217041,3.043398141860962,5.04322943047367,8.602273178100585,12.822670249938962,27.22552490234375,"Jackson, MS",377
3531,3206,0.907958085528179,2.5038673877716064,2.9264010190963745,4.453094143534331,6.02796745300293,6.99191613197325,9.334303855895996,"Jackson, WY",127
432184,356800,0.8255742924310016,3,3.216445195674896,4.829838773928951,7.281501245498656,9.983687200546273,29.98250389099121,"Jacksonville, FL",2853
37736,37496,0.9936400254398984,2.1953896794002503e-4,1.4235008656978607,4.13758567590018,6.527859807014465,9.765749406814574,31.97353744506836,"Jacksonville, NC",105
26283,21455,0.8163071186698626,2.5006983280181885,2.7034353971481324,4.226342049402891,6.214595651626587,7.588992280960083,17.739551544189453,"Jamestown, NY",250
28834,28041,0.972497745716862,1.0131712042493746e-4,2.1296610832214355,4.223729915874524,6.446028709411621,8.526461982727039,29.699296951293945,"Janesville, WI",184
20859,19411,0.9305815235629704,2.5002799034118652,3.168893575668335,4.867594860367856,6.77780818939209,8.710476684570319,34.068721771240234,"Jefferson City, MO",104
57445,43888,0.7640003481591087,2.500162363052368,2.6890595674514772,4.174309510418502,6.369416093826294,9.336536779403684,23.81393241882324,"Johnson City, TN",286
42477,32752,0.7710525696259152,2.500626802444458,2.690350651741028,4.0497815964364055,6.287069988250732,9.311540002822875,27.16638946533203,"Joplin, MO",134
6390,5685,0.8896713615023474,3,3.372894763946533,4.994114137387842,7.168054199218751,9.172994346618646,24.94235038757324,"Juneau, AK",283
8322,6228,0.7483777937995674,3,3.1839962363243104,4.398766755024132,5.732364511489868,6.8868082523345935,27.143922805786133,"Kailua (Hawaii County), HI",461
76600,76338,0.996579634464752,3.924756892956794e-4,1.6932659149169924,4.1527357575037405,7.22785663604736,10.373122444152834,27.27597999572754,"Kalamazoo, MI",707
581169,516394,0.8885436077973877,2.5000221729278564,3.0924041986465456,5.192347745194305,7.782151579856873,10.396681270599368,32.27866744995117,"Kansas City, MO--KS",2843
7420,6091,0.82088948787062,2.501859664916992,2.81005334854126,4.435824317819398,6.861340761184692,9.996585559844972,18.586162567138672,"Keene, NH",211
98506,76629,0.7779120053600795,2.500280380249023,2.8494414329528808,4.404532102838525,6.155371761322018,7.918888301849368,30.987133026123047,"Kennewick--Richland--Pasco, WA",611
53135,53038,0.9981744612778772,4.836369480472058e-4,1.9903746485710143,4.039450905052667,6.1588716983795155,8.045009126663201,25.09713554382324,"Kenosha, WI",236
16698,13985,0.8375254521499581,2.500558853149414,2.7725756645202635,4.078900198020976,5.725808811187743,7.270537548065184,16.01275634765625,"Kerrville, TX",238
4143,3846,0.9283128167994208,2.509350538253784,3.252221703529358,5.233958868018303,7.107298493385315,8.316707324981692,14.907936096191406,"Ketchum, ID",133
14654,10678,0.7286747645694008,3,3.232011842727661,4.909126373104532,7.2868933200836175,11.621222362518289,27.806804656982425,"Key Largo, FL",434
9610,7278,0.7573361082206035,3,3.2012532472610475,4.6128249560191295,6.504009985923765,9.255191059112548,29.9511775970459,"Key West, FL",367
23469,20079,0.8555541352422344,0.00244200252927839,3.127929162979126,5.209987106205928,7.894856786727903,11.072764396667502,27.790760040283203,"Kill Devil Hills--Nags Head, NC",1094
82273,64056,0.7785786345459629,2.500051736831665,3.295446991920471,4.748960720729006,6.234573721885681,7.881849169731133,23.16290283203125,"Killeen, TX",123
14305,11607,0.8113946172666899,3,3.1709771156311035,4.6366919028601865,6.9967300415039055,10.11167699813843,29.94795799255371,"Kingsland--St. Marys, GA",220
50218,38134,0.7593691505038034,2.5001208782196045,2.6748373031616213,4.0966680371755695,6.320909261703491,9.962637739181504,27.525184631347656,"Kingsport, TN--VA",177
20222,19257,0.952279695381268,0.00647249212488532,1.9517282962799072,4.292639501771788,6.816230392456056,8.899588165283195,18.403470993041992,"Kingston, NY",281
130608,125416,0.9602474580423864,7.93273065937683e-5,0.31288252025842667,3.567559934801965,5.8663142919540405,7.669833803176889,30.411518096923828,"Kissimmee--St. Cloud, FL",349
22318,17159,0.7688412940227619,2.5001513957977295,2.669261336326599,3.8292250850969167,5.537824535369871,6.792858905792231,23.990657806396484,"Klamath Falls--Altamont, OR",122
244352,200775,0.8216630107386066,2.5000107288360596,2.8240310907363892,4.67012759520277,7.292805719375609,10.857518291473395,36.67092514038086,"Knoxville, TN",2233
42261,36300,0.8589479662099808,0.00133868807461112,2.7162026524543763,4.290745642187164,6.433646702766416,8.172793397903456,27.22554397583008,"La Crosse, WI--MN",314
7906,6703,0.8478370857576524,2.5006520748138428,2.7405295610427856,4.078865907698376,5.861363792419434,7.338528509140008,18.643817901611328,"La Grande, OR",159
14664,12336,0.8412438625204582,2.500025510787964,3.039929211139679,5.065955330174411,7.499959826469421,10.15977807044982,21.72976303100586,"Laconia, NH",186
33400,26186,0.7840119760479042,1.4230824308469892e-4,2.512374997138977,4.6729015856484795,6.254521369934082,7.362981057167056,21.615978240966797,"Lafayette--Erie--Louisville, CO",422
49871,45228,0.9068998014878388,2.501234531402588,3.010454797744751,4.819184814116635,7.261608648300172,9.497752399444604,29.570241928100582,"Lafayette, IN",538
97013,95209,0.9814045540288416,1.952362363226712e-4,0.7272986412048342,3.463598346259949,5.997475528717039,8.162870292663573,34.760318756103516,"Lafayette, LA",505
2789,2035,0.7296522050914306,3,3.161577081680298,4.47451325365015,6.402888631820678,8.515915584564212,22.265504837036133,"Lahaina--Napili-Honokowai, HI",321
77543,76546,0.9871426176444036,2.499375259503722e-4,0.9780262857675552,3.4711433040534754,5.785196542739868,10.024007606506352,34.520748138427734,"Lake Charles, LA",207
125388,102399,0.8166570963728587,3,3.2378934144973757,4.7757803272072445,6.8462784290313685,9.82440727233889,24.647043228149418,"Lancaster--Manheim, PA",940
3537,2556,0.72264631043257,3.000643253326416,3.129761278629303,4.255199789254691,6.097970366477966,8.320102262496938,13.959839820861816,"Lander, WY",104
117907,117562,0.9970739650741688,5.115089588798583e-4,1.7730631113052369,4.119371373402185,6.623884439468383,9.2185244846344,34.19682312011719,"Lansing, MI",1100
57923,57130,0.9863094107694698,1.677289546933025e-4,0.6819009065628052,3.3625082340679415,5.50593683719635,7.374957818984982,31.865787506103516,"Las Cruces, NM",318
699380,674305,0.9641468157510938,8.710043039172888e-5,0.22718418240547197,3.7318290526011255,6.214103412628174,8.114972839355465,38.14704132080078,"Las Vegas--Henderson--Paradise, NV",1078
28638,26296,0.9182205461275228,2.5010149478912354,3.326790750026703,5.470215653426603,8.196449279785156,10.771441411972036,33.000484466552734,"Lawrence, KS",368
10348,9177,0.8868380363355238,2.501904010772705,2.9073596954345704,4.891949833770898,7.366288471221921,9.519621429443358,26.80198860168457,"Lebanon, NH--VT",378
27116,20198,0.7448738752028323,3,3.182014894485474,4.578658463294134,6.546962094306944,8.783513765335078,18.670934677124023,"Lebanon, PA",100
32506,30347,0.9335814926475112,2.5001211166381836,3.314374542236328,5.109122320993432,6.739143180847167,8.466859092712406,27.928850173950195,"Lee's Summit, MO",116
